Lokalizacja i data,Cena,Wielkość działki,Cena za metr,Url
Krzywaczka ,645 000 ,5 100,126.47,https://www.otodom.pl/pl/oferta/dzialka-inwestycyjna-centrum-miejscowosci-ID4oAJs.html
Tokarnia ,139 000 ,1 600,86.88,https://www.otodom.pl/pl/oferta/piekna-widokowa-dzialka-budowlana-ID4oAJr.html
Porąbka ,220 000 ,2 200,100,/d/oferta/porabka-wielka-puszcza-dzialka-budowlana-2200m2-z-lasem-i-gorska-woda-CID3-IDYaLqD.html
Skawce ,230 000 ,1 900,121.05,https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-skawcach-przy-drodze-24-ID4ouJ5.html
Sidzina ,150 000 ,8 556,17.53,/d/oferta/dzialki-rolne-sidzina-34-236-CID3-IDVXiTd.html
Gorzeń Górny ,237 468 ,3 598,66,https://www.otodom.pl/pl/oferta/pieknie-polozona-dzialka-w-gorzeniu-gornym-ID4lLln.html
Mucharz ,460 000 ,3 320,138.55,https://www.otodom.pl/pl/oferta/dzialka-w-mucharzu-ID4lLli.html
Inwałd ,1 109 000 ,13 100,84.66,https://www.otodom.pl/pl/oferta/bardzo-ladna-dzialka-pod-osiedle-domow-ID4mm4X.html
Zembrzyce ,315 000 ,21 000,15,/d/oferta/sprzedam-dzialke-CID3-IDYcme2.html
Zawoja ,495 000 ,1 389,356.37,https://www.otodom.pl/pl/oferta/widokowa-z-pozwoleniem-na-budowe-cena-z-23-vat-ID4oBj6.html
Gorzeń Dolny ,120 000 ,24,5000,/d/oferta/dzialka-na-sprzedarz-CID3-IDW9hAg.html
Pewel Ślemieńska ,111 000 ,867,128.03,/d/oferta/dzialka-budowlana-beskid-zywiecki-867-m2-faktura-vat-CID3-IDYchza.html
Koszarawa ,110 000 ,999,110.11,https://www.otodom.pl/pl/oferta/widok-na-pilsko-tylko-1-pozostala-ID4jh7U.html
Kocoń ,99 000 ,721,137.31,https://www.otodom.pl/pl/oferta/dzialka-budowlana-7a-z-pieknym-widokiem-na-gory-ID4oB5v.html
Zawoja ,315 000 ,584,539.38,/d/oferta/zawoja-policzne-dzialka-CID3-IDY5Vqb.html
Lachowice ,172 000 ,1 168,147.26,/d/oferta/lachowice-widokowa-dzialka-budowlana-prad-woda-CID3-IDY9rv3.html
Rabka,455 000 ,"45,25",10055.25,/d/oferta/idealna-dzialka-pod-budowe-domu-CID3-IDY7jEW.html
Klecza Dolna ,180 000 ,1 483,121.38,/d/oferta/dzialka-budowlana-15-arow-klecza-dolna-w-okolicy-wadowic-CID3-IDUVPo3.html
Trzebunia ,180 000 ,4 300,41.86,https://www.otodom.pl/pl/oferta/duza-dzialka-budowlana-widokowa-trzebunia-pcim-ID4oAWQ.html
Pewel Ślemieńska ,990 000 ,9 900,100,/d/oferta/1-ha-dzialki-inwestycyjnej-beskid-zywiecki-CID3-IDVdhgL.html
Kobiernice ,295 000 ,8 398,35.13,https://www.otodom.pl/pl/oferta/dzialka-rolno-budowlana-84-ary-z-widokiem-na-gory-ID4oAWs.html
Lanckorona ,275 000 ,2 300,119.57,https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-lanckoronie-widokowa-ID3FNVk.html
Trzebunia ,84 000 ,1 400,60,https://www.otodom.pl/pl/oferta/dzialka-budowlna-gmina-pcim-trzebunia-ID4h6Ll.html
Pewel Ślemieńska ,110 000 ,2 200,50,/d/oferta/dzialka-rolna-widokowa-beskid-zywiecki-CID3-IDVdtGx.html
Wadowice ,249 000 ,1 960,127.04,/d/oferta/dzialka-budowlana-20ar-wysoka-CID3-IDVvePl.html
Chyżne ,200 000 ,5 000,40,/d/oferta/dzialka-rolna-50ar-nad-jeziorem-orawskim-CID3-IDS6hA0.html
Zembrzyce ,480 000 ,2 762,173.79,/d/oferta/dzialka-widokowa-CID3-IDWS8qW.html
Wadowice ,249 000 ,1 960,127.04,/d/oferta/dzialka-budowlana-20ar-wysoka-CID3-IDVvePl.html
Myślenice ,50 ,4 000,0.01,/d/oferta/wynajme-plac-parking-CID3-IDXJwVR.html
Borzęta ,2 500 ,3 400,0.74,/d/oferta/dzialka-borzeta-do-wynajecia-przy-drodze-glownej-myslenice-dobczyce-CID3-IDNOfeP.html
Kuków ,82 500 ,1 129,73.07,/d/oferta/sprzedam-piekna-budowlana-inwestycyjna-CID3-IDQOAaS.html
Kobiernice ,360 000 ,2 023,177.95,https://www.otodom.pl/pl/oferta/dzialka-budowlana-wszystkie-media-dostepne-ID4ozeg.html
Izdebnik ,139 000 ,1 300,106.92,/d/oferta/13-ar-izdebnik-dzialka-przy-lesie-z-mediami-budowlana-CID3-IDMOlfe.html
Kocoń ,130 000 ,1 530,84.97,/d/oferta/dzialka-budowlana-kocon-CID3-IDVszuv.html
Czarny Dunajec ,3 000 ,7 500,0.4,/d/oferta/wynajme-piekna-dzialka-czarny-dunajec-baligowka-woda-prad-CID3-IDXbylr.html
Krzczonów ,127 000 ,3 200,39.69,/d/oferta/dzialka-budowlana-z-wlasnym-lasem-i-w-cudownej-okolicy-32-ary-magii-CID3-IDVz8Rl.html
Głogoczów ,270 000 ,1 299,207.85,https://www.otodom.pl/pl/oferta/zaciszna-dzialka-budowlana-przy-lesie-glogoczow-ID4ne8B.html
Witkowice ,125 000 ,1 081,115.63,/d/oferta/widokowa-dzialka-w-spokojnej-okolicy-CID3-IDYaXc5.html
Krzyżowa ,200 000 ,1 200,166.67,/d/oferta/dzialka-budowlana-12-arow-w-pieknej-okolicy-CID3-IDYaUNS.html
Kuków ,82 500 ,1 129,73.07,/d/oferta/sprzedam-piekna-budowlana-inwestycyjna-CID3-IDQOAaS.html
Tarnawa Górna ,175 000 ,3 850,45.45,/d/oferta/dzialka-budowlana-CID3-IDR8WMu.html
Bogdanówka ,99 000 ,3 200,30.94,/d/oferta/dzialka-32-ary-bogdanowka-CID3-IDXYeUc.html
Żywiec ,60 000 ,1 442,41.61,/d/oferta/dzialka-lesna-tresna-zapora-CID3-IDYaTKp.html
Jordanów ,8 500 ,100,85,/d/oferta/dzialka-widokowa-jordanow-powiat-suski-CID3-IDYaBN8.html
Żywiec ,890 000 ,1 322,673.22,/d/oferta/dzialka-widokowa-przy-brzegu-jeziora-zywieckiego-CID3-IDYaNcF.html
Porąbka ,220 000 ,2 200,100,/d/oferta/porabka-wielka-puszcza-dzialka-budowlana-2200m2-z-lasem-i-gorska-woda-CID3-IDYaLqD.html
Radocza ,107 000 ,1 800,59.44,/d/oferta/dzialka-budowlano-uslugowa-17-60ar-CID3-IDXY07g.html
